iter	Passed	Remaining
0	144	143913
1	145	72714
2	146	48847
3	148	36929
4	150	29900
5	151	25122
6	153	21722
7	154	19162
8	156	17190
9	157	15588
10	158	14295
11	160	13206
12	161	12281
13	163	11543
14	165	10869
15	166	10265
16	168	9733
17	169	9264
18	171	8842
19	172	8468
20	174	8123
21	175	7810
22	177	7524
23	179	7281
24	180	7054
25	182	6827
26	183	6612
27	185	6426
28	186	6252
29	188	6080
30	189	5912
31	190	5757
32	191	5621
33	194	5520
34	195	5398
35	197	5287
36	198	5177
37	200	5073
38	202	4982
39	204	4903
40	206	4821
41	208	4759
42	210	4680
43	212	4606
44	213	4530
45	215	4460
46	216	4390
47	218	4329
48	219	4257
49	221	4199
50	222	4146
51	224	4091
52	225	4031
53	227	3977
54	228	3927
55	230	3882
56	231	3833
57	233	3785
58	234	3739
59	235	3696
60	237	3660
61	239	3619
62	240	3577
63	242	3541
64	243	3502
65	244	3465
66	246	3426
67	247	3391
68	248	3357
69	250	3321
70	251	3287
71	252	3258
72	254	3226
73	255	3195
74	256	3167
75	258	3137
76	259	3108
77	260	3077
78	261	3047
79	262	3019
80	263	2990
81	264	2961
82	265	2929
83	266	2903
84	267	2880
85	268	2857
86	269	2832
87	270	2807
88	271	2783
89	272	2759
90	273	2735
91	274	2711
92	275	2688
93	276	2665
94	277	2643
95	278	2621
96	279	2598
97	279	2577
98	280	2555
99	281	2534
100	282	2515
101	283	2498
102	284	2480
103	285	2460
104	286	2441
105	287	2422
106	288	2405
107	289	2388
108	290	2370
109	290	2353
110	291	2337
111	292	2322
112	293	2306
113	294	2291
114	295	2275
115	296	2259
116	297	2243
117	298	2231
118	299	2218
119	300	2204
120	301	2191
121	302	2176
122	303	2163
123	304	2149
124	305	2136
125	306	2123
126	306	2110
127	307	2097
128	308	2084
129	309	2072
130	310	2060
131	311	2049
132	312	2037
133	313	2026
134	314	2016
135	315	2005
136	316	1994
137	317	1983
138	318	1972
139	319	1961
140	320	1950
141	320	1938
142	321	1927
143	322	1917
144	323	1907
145	324	1898
146	325	1889
147	326	1880
148	327	1871
149	329	1867
150	330	1859
151	331	1850
152	332	1841
153	333	1833
154	334	1824
155	335	1816
156	336	1808
157	337	1799
158	338	1791
159	339	1784
160	340	1774
161	341	1765
162	342	1758
163	343	1750
164	344	1743
165	346	1738
166	347	1730
167	347	1723
168	348	1715
169	350	1708
170	351	1702
171	352	1695
172	353	1687
173	354	1680
174	354	1673
175	355	1666
176	356	1659
177	357	1652
178	358	1645
179	360	1640
180	361	1635
181	362	1628
182	363	1621
183	364	1615
184	365	1609
185	366	1603
186	367	1597
187	368	1590
188	369	1584
189	370	1579
190	371	1573
191	372	1567
192	373	1561
193	374	1555
194	375	1551
195	376	1545
196	377	1539
197	378	1534
198	380	1529
199	381	1524
200	382	1520
201	383	1514
202	384	1509
203	385	1504
204	386	1499
205	387	1494
206	388	1488
207	389	1484
208	390	1479
209	392	1475
210	393	1470
211	394	1465
212	395	1460
213	396	1455
214	397	1450
215	398	1446
216	399	1441
217	400	1435
218	401	1430
219	402	1426
220	403	1421
221	404	1416
222	405	1412
223	406	1409
224	407	1404
225	408	1400
226	410	1396
227	410	1391
228	411	1386
229	412	1382
230	413	1377
231	414	1373
232	415	1368
233	416	1364
234	417	1359
235	418	1355
236	419	1351
237	420	1347
238	421	1342
239	422	1338
240	423	1334
241	424	1330
242	425	1326
243	426	1322
244	427	1318
245	428	1314
246	429	1309
247	430	1305
248	431	1301
249	432	1297
250	433	1293
251	434	1289
252	435	1286
253	436	1283
254	437	1279
255	439	1276
256	439	1271
257	440	1267
258	441	1264
259	442	1260
260	443	1256
261	444	1252
262	445	1248
263	446	1245
264	447	1241
265	448	1237
266	449	1233
267	450	1230
268	451	1227
269	452	1224
270	453	1220
271	454	1217
272	455	1213
273	456	1209
274	457	1206
275	458	1202
276	459	1199
277	460	1196
278	461	1193
279	462	1189
280	463	1186
281	464	1182
282	465	1179
283	466	1177
284	467	1174
285	468	1170
286	469	1167
287	470	1164
288	471	1160
289	472	1157
290	473	1154
291	474	1151
292	475	1148
293	476	1145
294	477	1141
295	478	1138
296	479	1135
297	480	1132
298	482	1131
299	483	1127
300	484	1124
301	485	1121
302	486	1118
303	487	1115
304	488	1112
305	489	1109
306	490	1106
307	491	1103
308	492	1100
309	493	1097
310	493	1094
311	494	1091
312	495	1088
313	496	1085
314	498	1083
315	498	1079
316	499	1076
317	500	1073
318	501	1070
319	502	1067
320	503	1064
321	504	1061
322	505	1058
323	506	1056
324	507	1053
325	508	1050
326	508	1047
327	509	1044
328	510	1041
329	512	1039
330	513	1037
331	514	1034
332	514	1031
333	515	1028
334	516	1025
335	517	1023
336	518	1020
337	519	1017
338	520	1014
339	521	1011
340	522	1009
341	523	1006
342	524	1003
343	524	1001
344	525	998
345	526	996
346	527	993
347	528	990
348	529	987
349	530	985
350	531	982
351	532	979
352	533	977
353	533	974
354	534	971
355	535	969
356	536	966
357	537	964
358	538	961
359	539	959
360	540	956
361	541	954
362	542	951
363	543	949
364	544	947
365	545	944
366	545	941
367	546	939
368	547	936
369	548	933
370	549	931
371	550	928
372	551	926
373	551	923
374	552	921
375	553	918
376	554	915
377	555	913
378	555	910
379	556	908
380	557	906
381	558	903
382	559	901
383	560	898
384	561	896
385	561	893
386	562	891
387	563	888
388	564	886
389	565	883
390	565	881
391	566	879
392	567	876
393	568	874
394	569	871
395	569	869
396	570	866
397	571	864
398	572	862
399	573	860
400	574	858
401	575	855
402	576	853
403	576	851
404	577	848
405	578	846
406	579	844
407	580	841
408	580	839
409	581	837
410	582	834
411	583	832
412	584	830
413	585	828
414	585	826
415	586	823
416	587	821
417	588	819
418	589	817
419	590	815
420	591	813
421	592	811
422	592	808
423	593	806
424	594	804
425	595	802
426	596	799
427	597	797
428	597	795
429	598	793
430	599	791
431	600	789
432	600	786
433	601	784
434	602	782
435	603	781
436	604	779
437	605	777
438	606	775
439	607	772
440	608	770
441	608	768
442	609	766
443	610	764
444	611	762
445	612	760
446	612	758
447	613	756
448	614	754
449	615	752
450	616	749
451	616	747
452	617	745
453	618	744
454	619	742
455	620	740
456	621	738
457	622	736
458	623	734
459	624	732
460	624	730
461	625	728
462	626	726
463	627	724
464	628	722
465	628	720
466	629	718
467	630	716
468	631	714
469	631	712
470	632	710
471	633	709
472	634	707
473	635	705
474	636	703
475	637	701
476	638	699
477	638	697
478	639	695
479	640	693
480	641	691
481	642	689
482	642	688
483	643	686
484	644	684
485	645	682
486	646	680
487	646	678
488	647	676
489	648	675
490	649	673
491	650	671
492	651	669
493	652	668
494	653	666
495	653	664
496	654	662
497	655	660
498	656	658
499	656	656
500	657	655
501	658	653
502	659	651
503	660	649
504	660	647
505	661	646
506	662	644
507	663	642
508	664	641
509	665	639
510	666	637
511	667	636
512	668	634
513	669	632
514	669	630
515	670	629
516	671	627
517	672	625
518	673	623
519	673	622
520	674	620
521	675	618
522	676	616
523	676	614
524	677	613
525	678	611
526	679	610
527	680	608
528	681	606
529	682	605
530	683	603
531	683	601
532	684	599
533	685	598
534	686	596
535	686	594
536	687	593
537	688	591
538	689	589
539	690	587
540	690	586
541	691	584
542	692	582
543	693	581
544	694	579
545	695	578
546	696	576
547	697	575
548	698	573
549	698	571
550	699	570
551	700	568
552	701	566
553	702	565
554	702	563
555	703	561
556	704	560
557	705	558
558	706	557
559	706	555
560	707	553
561	708	552
562	709	550
563	711	549
564	711	548
565	712	546
566	713	544
567	714	543
568	714	541
569	715	539
570	716	538
571	717	536
572	718	535
573	719	533
574	719	532
575	720	530
576	721	528
577	722	527
578	723	525
579	723	524
580	724	522
581	726	521
582	726	519
583	727	518
584	728	516
585	729	515
586	729	513
587	730	511
588	731	510
589	732	508
590	733	507
591	733	505
592	734	504
593	735	502
594	736	501
595	737	499
596	738	498
597	739	496
598	740	495
599	741	494
600	742	492
601	743	491
602	743	489
603	744	488
604	745	486
605	746	485
606	747	483
607	747	482
608	748	480
609	749	479
610	750	477
611	750	476
612	751	474
613	752	473
614	753	471
615	754	470
616	755	468
617	756	467
618	757	466
