iter	Passed	Remaining
0	0	72
1	1	80
2	2	85
3	3	80
4	4	76
5	4	75
6	5	77
7	6	77
8	7	76
9	8	76
10	9	74
11	9	73
12	10	72
13	11	71
14	12	70
15	13	69
16	14	68
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	33	46
42	34	45
43	35	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	32
57	44	32
58	44	31
59	45	30
60	45	29
61	46	28
62	47	27
63	47	26
64	48	25
65	48	24
66	49	24
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	66	0
99	67	0
